Timestamp,program,Gender,Age,Height,Weight.,Old_Salary,Expected_Salary,Organization,Live_parents,Expenses,Transportation,Transportation_Cost,Entertainment,Hand,Cellphone_Cost,Smoke,Footsize,Alcohol,Tattoo,Sleep,Social_Network,Homework,Work,Travel,Tuition,Coffee
2020/09/11 11:58:11 am GMT-7,BABI,Male,25,181,70,3200,4000,2. Small Company,No,1850,5. Other,80,60,0. Right-handed,60,Yes,9,1,No,7,8,7,32,Yes,No,2
2020/09/12 4:04:48 am GMT-7,BABI,Male,23,185,90,0,5000,3. Non-profit or Government Agency,Yes,200,2. Public Transport,40,50,0. Right-handed,40,No,13,0,Yes,12,10,0,20,Yes,No,0
2020/09/13 9:07:54 pm GMT-7,BABI,Female,25,161,64,2900,5400,1. Large Corporation,Yes,900,2. Public Transport,150,10,0. Right-handed,50,No,9.3,0,No,8,10.5,35,0,Yes,Yes,0
2020/09/14 12:32:14 pm GMT-7,BABI,Male,23,195,150,0,3500,2. Small Company,No,1800,5. Other,0,40,0. Right-handed,75,No,12.2,2,No,8,1,3,0,Yes,Yes,0
2020/09/14 8:22:31 pm GMT-7,BABI,Male,25,178,80,0,4000,2. Small Company,No,900,2. Public Transport,145,20,1. Left-handed,80,No,10,2,No,7,10,20,40,Yes,Yes,2
2020/09/14 8:23:18 pm GMT-7,BABI,Male,24,170,83,2316,5000,2. Small Company,Yes,300,3. Drive,50,200,0. Right-handed,NA,No,10,0,Yes,5,8,40,40,Yes,Yes,3
2020/09/14 8:25:19 pm GMT-7,BABI,Female,40,165,62,4000,6000,1. Large Corporation,No,1500,2. Public Transport,90,500,0. Right-handed,75,Yes,9,4,Yes,7,15,0,35,Yes,Yes,1
2020/09/14 8:26:52 pm GMT-7,BMGT,Male,25,175,80,2500,4000,2. Small Company,No,300,3. Drive,250,100,0. Right-handed,50,No,12.5,8,No,7,8,8,40,Yes,Yes,4
2020/09/14 8:27:02 pm GMT-7,BABI,Male,24,187,195,0,0,1. Large Corporation,Yes,85,3. Drive,20,40,0. Right-handed,75,No,10,0,No,8,4,2,5,Yes,Yes,1
2020/09/14 8:27:31 pm GMT-7,BABI,Female,30,160,52,3500,5000,2. Small Company,Yes,300,2. Public Transport,150,50,0. Right-handed,50,No,9,0,No,7,7,8,40,Yes,Yes,1
2020/09/14 8:28:16 pm GMT-7,BABI,Male,26,183,86,3600,4000,1. Large Corporation,No,2000,5. Other,0,200,0. Right-handed,60,No,8,0,No,8,15,35,40,Yes,Yes,1
2020/09/14 8:28:48 pm GMT-7,BABI,Male,28,170,77,4200,4200,4. Other,No,2400,2. Public Transport,40,200,0. Right-handed,60,No,10,7,Yes,8,2,0,8,Yes,No,NA
2020/09/14 8:30:07 pm GMT-7,BABI,Male,27,180,77,3750,4500,1. Large Corporation,No,2700,3. Drive,40,40,0. Right-handed,60,Yes,9,0,No,7.5,8,12,40,Yes,Yes,1
2020/09/14 8:31:26 pm GMT-7,BABI,Female,30,180,62,4500,5500,1. Large Corporation,No,2000,3. Drive,125,200,0. Right-handed,100,No,8,0,No,8,4,5,40,Yes,Yes,0
